text,label
"Congratulations! You won Rs 10 lakh. Click now!","Scam"
"Your SBI account will be blocked. Update KYC immediately.","Scam"
"Earn ₹5000 daily from home. Join WhatsApp group now!","Scam"
"Get instant loan without CIBIL check. Apply now.","Scam"
"Dear user, your PAN card is not updated. Verify now.","Scam"
"Your OTP is 458921. Do not share it with anyone.","Safe"
"Hey bro, let's meet tomorrow.","Safe"
"Call me when you are free.","Safe"
"Your Amazon order has been shipped.","Safe"
"Reminder: Your appointment is tomorrow at 10 AM.","Safe"
"Get 20% discount on Flipkart sale today!","Marketing"
"Limited time offer! Buy 1 Get 1 Free.","Marketing"
"Special festive sale on electronics. Shop now!","Marketing"
"Flat 50% off on all items. Hurry!","Marketing"
"Subscribe now and get premium access.","Marketing"
"Your bank account is suspended. Click link to reactivate.","Scam"
"You have won a lottery of ₹25 lakh. Claim now.","Scam"
"Send ₹10 to verify your account and receive ₹1000.","Scam"
"UPI collect request received. Approve to get cashback.","Scam"
"Work from home and earn ₹2000 daily. Limited slots.","Scam"
"Your Aadhaar needs update. Submit details immediately.","Scam"
"Dear customer, your KYC is pending. Complete now.","Scam"
"Click this link to avoid penalty on your bank account.","Scam"
"Big Billion Days sale is live now!","Marketing"
"Upgrade your phone at lowest price today.","Marketing"
"Special offer for premium customers only.","Marketing"
"Exclusive deal on credit cards. Apply now.","Marketing"
"Where are you right now?","Safe"
"I will call you later.","Safe"
"Meeting is postponed to evening.","Safe"
"Thanks for your help.","Safe"